id,isValid,raingage,SID,date,validRaingege
205,1,0.47243908,6000,6/23/17 20:09,0.47243908
206,1,0.511808991,6000,6/23/17 20:11,0.511808991
207,1,0.551178932,6000,6/23/17 20:13,0.551178932
208,1,0.590548873,6000,6/23/17 20:14,0.590548873
209,1,0.629918754,6000,6/23/17 20:14,0.629918754
210,1,0.669288695,6000,6/23/17 20:15,0.669288695
211,1,0.708658636,6000,6/23/17 20:15,0.708658636
212,1,0.748028576,6000,6/23/17 20:16,0.748028576
213,1,0.787398458,6000,6/23/17 20:18,0.787398458
214,1,0.826768398,6000,6/23/17 20:20,0.826768398
215,1,0.866138339,6000,6/23/17 20:22,0.866138339
216,1,0.90550822,6000,6/23/17 20:24,0.90550822
217,1,0.944878161,6000,6/23/17 20:24,0.944878161
218,1,0.984248102,6000,6/23/17 20:25,0.984248102
219,1,1.023617983,6000,6/23/17 20:26,1.023617983
220,1,1.062987924,6000,6/23/17 20:27,1.062987924
221,1,1.102357864,6000,6/23/17 20:28,1.102357864
222,1,1.141727805,6000,6/23/17 20:28,1.141727805
223,1,1.181097746,6000,6/23/17 20:29,1.181097746
224,1,1.220467687,6000,6/23/17 20:30,1.220467687
225,1,1.259837508,6000,6/23/17 20:31,1.259837508
226,1,1.299207449,6000,6/23/17 20:32,1.299207449
227,1,1.33857739,6000,6/23/17 20:33,1.33857739
228,1,1.37794733,6000,6/23/17 20:33,1.37794733
229,1,1.417317271,6000,6/23/17 20:34,1.417317271
230,1,1.456687212,6000,6/23/17 20:35,1.456687212
231,1,1.496057153,6000,6/23/17 20:35,1.496057153
232,1,1.535426974,6000,6/23/17 20:36,1.535426974
233,1,1.574796915,6000,6/23/17 20:37,1.574796915
234,1,1.614166856,6000,6/23/17 20:38,1.614166856
235,1,1.653536797,6000,6/23/17 20:39,1.653536797
236,1,1.692906737,6000,6/23/17 20:40,1.692906737
237,1,1.732276678,6000,6/23/17 20:41,1.732276678
238,1,1.771646619,6000,6/23/17 20:41,1.771646619
239,1,1.81101644,6000,6/23/17 20:42,1.81101644
240,1,1.850386381,6000,6/23/17 20:42,1.850386381
241,1,1.889756322,6000,6/23/17 20:43,1.889756322
242,1,1.929126263,6000,6/23/17 20:44,1.929126263
243,1,1.968496203,6000,6/23/17 20:45,1.968496203
244,1,2.007866144,6000,6/23/17 20:46,2.007866144
245,1,2.047235966,6000,6/23/17 20:48,2.047235966
246,1,2.086606026,6000,6/23/17 20:50,2.086606026
247,1,2.125975847,6000,6/23/17 20:52,2.125975847
248,1,2.165345907,6000,6/23/17 20:53,2.165345907
249,1,2.204715729,6000,6/23/17 20:55,2.204715729
250,1,2.24408555,6000,6/23/17 20:58,2.24408555
251,1,2.28345561,6000,6/23/17 21:03,2.28345561
252,1,2.322825432,6000,6/23/17 21:08,2.322825432
253,1,2.362195492,6000,6/23/17 21:14,2.362195492
254,1,2.401565313,6000,6/24/17 1:41,2.401565313
255,1,2.440935373,6000,6/24/17 1:44,2.440935373
256,1,2.480305195,6000,6/24/17 1:45,2.480305195
257,1,2.519675016,6000,6/24/17 1:47,2.519675016
258,1,2.559045076,6000,6/24/17 1:47,2.559045076
259,1,2.598414898,6000,6/24/17 1:48,2.598414898
260,1,2.637784958,6000,6/24/17 1:49,2.637784958
261,1,2.677154779,6000,6/24/17 1:49,2.677154779
262,1,2.716524839,6000,6/24/17 1:50,2.716524839
263,1,2.755894661,6000,6/24/17 1:50,2.755894661
264,1,2.795264482,6000,6/24/17 1:50,2.795264482
265,1,2.834634542,6000,6/24/17 1:51,2.834634542
266,1,2.874004364,6000,6/24/17 1:52,2.874004364
267,1,2.913374424,6000,6/24/17 1:52,2.913374424
268,1,2.952744246,6000,6/24/17 1:53,2.952744246
269,1,2.992114305,6000,6/24/17 1:54,2.992114305
270,1,3.031484127,6000,6/24/17 1:55,3.031484127
271,1,3.070853949,6000,6/24/17 1:55,3.070853949
